iter	Passed	Remaining
410	3508	5027
411	3514	5015
412	3520	5004
413	3527	4993
414	3533	4981
415	3540	4970
416	3546	4958
417	3553	4947
418	3559	4936
419	3565	4924
420	3572	4913
421	3578	4901
422	3585	4890
423	3591	4878
424	3597	4866
425	3604	4856
426	3610	4844
427	3616	4832
428	3622	4822
429	3629	4810
430	3636	4800
431	3641	4788
432	3648	4777
433	3655	4767
434	3661	4755
435	3668	4746
436	3674	4734
437	3680	4722
438	3687	4712
439	3694	4701
440	3701	4691
441	3707	4680
442	3713	4669
443	3720	4658
444	3726	4647
445	3733	4637
446	3739	4625
447	3744	4614
448	3752	4604
449	3758	4593
450	3765	4583
451	3772	4573
452	3779	4563
453	3787	4554
454	3794	4545
455	3802	4536
456	3810	4527
457	3818	4518
458	3825	4508
459	3833	4499
460	3840	4489
461	3848	4481
462	3855	4471
463	3863	4463
464	3871	4454
465	3879	4445
466	3886	4435
467	3893	4426
468	3901	4417
469	3909	4408
470	3916	4399
471	3923	4389
472	3931	4380
473	3938	4370
474	3945	4361
475	3952	4350
476	3958	4340
477	3966	4331
478	3972	4320
479	3979	4311
480	3985	4300
481	3991	4289
482	3999	4280
483	4006	4271
484	4013	4262
485	4020	4251
486	4026	4241
487	4033	4231
488	4039	4220
489	4046	4211
490	4052	4201
491	4059	4191
492	4065	4181
493	4071	4170
494	4079	4161
495	4085	4151
496	4091	4141
497	4097	4130
498	4103	4120
499	4111	4111
500	4118	4102
501	4127	4094
502	4134	4085
503	4142	4076
504	4149	4067
505	4157	4058
506	4164	4049
507	4173	4041
508	4181	4033
509	4190	4026
510	4198	4018
511	4207	4010
512	4215	4001
513	4224	3994
514	4232	3986
515	4242	3979
516	4249	3970
517	4258	3962
518	4266	3954
519	4274	3946
520	4281	3936
521	4287	3926
522	4294	3916
523	4300	3906
524	4307	3897
525	4313	3887
526	4319	3876
527	4326	3867
528	4332	3857
529	4338	3847
530	4345	3837
531	4351	3827
532	4357	3818
533	4363	3808
534	4370	3798
535	4376	3788
536	4382	3778
537	4389	3769
538	4395	3759
539	4401	3749
540	4408	3740
541	4414	3730
542	4421	3720
543	4429	3712
544	4436	3703
545	4446	3696
546	4454	3689
547	4461	3680
548	4470	3672
549	4478	3664
550	4488	3657
551	4496	3649
552	4505	3641
553	4513	3633
554	4523	3627
555	4536	3622
556	4545	3615
557	4556	3609
558	4565	3601
559	4574	3594
560	4586	3588
561	4595	3581
562	4604	3574
563	4612	3565
564	4621	3558
565	4629	3550
566	4638	3542
567	4646	3533
568	4655	3526
569	4663	3517
570	4672	3510
571	4679	3501
572	4687	3493
573	4694	3484
574	4703	3476
575	4710	3467
576	4717	3458
577	4724	3449
578	4730	3439
579	4737	3430
580	4743	3420
581	4750	3411
582	4756	3402
583	4763	3393
584	4769	3383
585	4775	3373
586	4782	3364
587	4788	3354
588	4794	3345
589	4800	3336
590	4806	3326
591	4813	3317
592	4819	3307
593	4825	3298
594	4832	3289
595	4838	3279
596	4845	3270
597	4851	3261
598	4857	3251
